
shgohaizaki,32
xanaplana,31
shawott,7
s64trainerredpkm,3
joaquielkapo,3
anjomalicioso,8
balkhrod,41
minoritybank,0
antemortem,5
trainerredpkm,3
valkyriaanna,0
wolfjaeger,26
bleushrek,3
sneakybatte,49
dragonlatios,29
sotestandobjs,27
funkycrackudocat,40
infernalteamii,9
indiancharizard,141
chatrangdhomme,3
yinyanganna,0
uloveme,3
matheusi,3
suraku75,16
icemilk,1
samuraimarionette,3
quilachy,3
raikouspeed,4
principebaka,6
gosthnith785,5
randomluckyguy,20
eddymallou,3
somario,0
rnoro,3
megalucariov,23
iaracarol,3
darkazelf,110
kakaro1234,4
sosfire,10
sonicrobat99,3
ppgore,20
eile,18
oakaxxiii,21
tehshax,7
alex55169,6
pokeecuador,3
roxyjadhav,32
livinghope,5
trainerash21,103
absol98sk,145
zeonthealpha,15
coolmudkip,3
invincibleswampert,27
crazytoxicroak,0
iforza,30
mettals,4
blueshrek,10
putoboss,15
raikuthunder,0
annavalkyria,15
blazelltest,10
charizard30,95
mudkipguy,17
soucleaver,77
verdade,9
drapionjosi,50
blazell,24
deltakiller,22
ejoseluiis,23
f4n,234
cyndaquilgod,25
wesleykyx,3
spatacus,29
lucasrecrear,0
eldecimo,6
199pepinos,22
trainerjay96,21
mtgmax37,3
prateeksingh,29
subterran,1
crazyuncleanti,13
cookiee,7
parth9,169
anrindas,132
dhrubapatra1611,23
jatingupta,44
persiguepollos,5
rookiedoce,47
2fruit,49
muffson,92
forliferesort,5
princeharrison,72
athulgmailcom,2
ladderistough,12
chapadinho,6
lucilletwo,15
lostheart,26
mgido,14
olgreg,3
gyurekio,0
silvertfc,12
smogn,0
199chorizos,10
darkshadow6,0
hattorilim,15
anrinn,0
thenameisbond,3
pearl2004,17
r0gger10,2
yanignacio1,14
zebraking11,4
lulugmarre,73
drapion5678,11
aku33,31
mlanie,0
alexlebg,25
destinedjagold,2
theultimateic,2
bobbyc18,6
essecara,6
allianceefina,3
drevon,6
zekrom52,30
exilym,28
slate,8
lolwasupeb,2
muk4president,9
supercoyotte,7
dtpoketroll31,1
christinagrmmie,0
frprincess,0
samsung1,6
jabin1,3
ganeshwar,12
syndrome,10
orbctform,6
brandon01,4
binca,6
eotaldoallen,1
rosecrimson,0
nolafus,12
blnghart,0
jrrkein,14
vaporeonomegax,0
bolpokmon121,7
roityflam60,3
andyvenus,0
syveonfairy,0
lonelyguy1,2
aerocheese,12
atraa,0
theultimategj,5
thefiredog,11
firzeblast666,3
gazz3l,5
sergeantwobbuffet,1
trainerjos,8
leandroplayer,12
jeandbz,11
jeangt,0
cazadorblanco,0
darkraidark3,23
bidankftw,5
guest5546,8
misskinwsf,3
ligthshiro,41
duzzy,8
jonjm,3
dragonkiddo,5
ryukipandelpitox,0
fahim04,5
timmytown,3
sacripanette,5
luffyhaunterz,3
lvalentina,1
karlof,5
alejandro001,1
amitydarkblade,2
cchikari1,19
fennekin101,15
rhythamdjane,0
frntierconbeef,1
zincoxide,17
patrick2054,2
reticentious,3
ttiti4545,10
darkrai9999,7
ladydiamond,1
darkdex,1
lizillusion,1
machthunderbolt,0
thedarckkilleur,1
bisharp71,1
senpaibidoof,3
fairypeak,4
kiriyuukitwi,6
odye,15
kiritossword,3
atharva19,72
thespookmaster,1
dktsunami2,1
swimty,3
lizcalinerie,1
dratak,4
nexus59,1
teambidoof,13
indianyveltal12,8
gunberry,3
lizpression,1
rayquazan,2
aliiice,0
pokemonindia,0
mindnight,44
devonrawr,50
lizmagicienne,5
imahaxlover,1
imahaxlover,2
hypnoblood,5
alizeelavoleuse,2
amourpearlshipper,7
yukkishater,3
silormoon,0
dragonjosi,3
kiritophanthom,2
davidthetruc,2
celacorn,4
skytrainerash,22
darshadow7,0
azincfromspace,70
pokedragma,2
yashagarwal,67
sirinator,7
negris,1
neosinanju,1
loliespacial,2
learnea,11
gio7sm,2
shinmeitensai,5
pueblolavanda,4
soulstryke,11
oddishs1fan,0
comicfanatic,2
sirinatorsri,12
sarahsan,2
dayummmm,1
louisefrancoise,7
aeerca,19
ouragangastrique,7
ino38642,12
kantio,30
jesuisfairy,1
rudedtreskyrio,1
its103,14
imblake,18
matagix,4
bastiken,1
johngasch,9
bachir3,2
basedhoenn,5
codkirito,1
kekachu,2
spygear,1
gleamy,9
thespammingking,2
situm,7
orval90,1
herminechan,6
auroreetoiiile,0
funkiyouonline,65
cyndaquiltoto13,13
ash1311999,2
bellssm,1005
blurryfac,46
lizpsychique,1
anrintest,1
solnotopia,4
razoremilice,1
swimtynotopia,3
aegiforubers,2
insanenightmare,15
mudk,3
darkbladevault,0
alexmp,2
elodie,1
sensibledadrabi,1
binarypeaches,5
pokecommbot,40
123456adarsh,3
holiano,1
dakilolpis,1
typlouk,14
greatblaster,1
linehimette,2
gogodsgokugamer,10
cse,4
firegames1212,25
elfpoodle,6
gelius3,2
lluksar,5
cassiem,1
komasan,4
kiritobladekun,35
